iter	MultiClass
0	0.9645959459
1	0.8682703731
2	0.7908363233
3	0.7242257312
4	0.6685078826
5	0.6230929856
6	0.583797676
7	0.5580068778
8	0.5283814243
9	0.5033881047
10	0.4916763796
11	0.4771794175
12	0.4599651751
13	0.4504591456
14	0.4356929062
15	0.4246843213
16	0.4128951492
17	0.4026242425
18	0.3970929127
19	0.3925836184
20	0.3876790474
21	0.3835031902
22	0.3778482677
23	0.3744199717
24	0.3704480106
25	0.3703672687
26	0.3680838563
27	0.3628617514
28	0.3605362246
29	0.3574325099
30	0.3559736401
31	0.3535314967
32	0.351329793
33	0.3465582464
34	0.3427469786
35	0.339220409
36	0.337250138
37	0.3343202841
38	0.3329332571
39	0.3309171251
40	0.328089617
41	0.3280717681
42	0.327047724
43	0.3261557923
44	0.3255008171
45	0.3235613275
46	0.3224533213
47	0.3207728451
48	0.3193038756
49	0.317858857
50	0.3157963252
51	0.3135345844
52	0.3135294757
53	0.3122668998
54	0.3114473748
55	0.3087977611
56	0.3087949824
57	0.307013074
58	0.3058602306
59	0.3050239384
60	0.303339334
61	0.3032073778
62	0.3016363662
63	0.3015747585
64	0.3012301524
65	0.2986304268
66	0.2956049635
67	0.2947918571
68	0.2924380686
69	0.2914749324
70	0.2892351702
71	0.2876149068
72	0.2846318616
73	0.2826203827
74	0.2800640995
75	0.2787413665
76	0.2760095326
77	0.2751651125
78	0.2736624596
79	0.2719399532
80	0.2700958796
81	0.2684697903
82	0.2673758369
83	0.266411515
84	0.2655086409
85	0.2644244448
86	0.2632208504
87	0.2624493201
88	0.261322666
89	0.260679721
90	0.2593095011
91	0.2580724947
92	0.256510815
93	0.2551055506
94	0.2541029232
95	0.2531832017
96	0.2527045692
97	0.2514148275
98	0.250597201
99	0.2485853446
100	0.2468699088
101	0.2448157608
102	0.2435503204
103	0.2427125332
104	0.2419704059
105	0.2401586868
106	0.2396354534
107	0.2378682622
108	0.2370218866
109	0.2357475062
110	0.2343916529
111	0.2328020934
112	0.2325585648
113	0.2312147883
114	0.2309183325
115	0.2301407626
116	0.2290969793
117	0.228464611
118	0.2277363021
119	0.2270346347
120	0.2252875047
121	0.2240916719
122	0.2228755313
123	0.2223469249
124	0.2208738777
125	0.2203457382
126	0.2195612601
127	0.2186864148
128	0.2173954619
129	0.2169593715
130	0.2156114494
131	0.2140878558
132	0.2132583232
133	0.2124056675
134	0.2120032213
135	0.2116541656
136	0.2103456741
137	0.2092547024
138	0.2088600371
139	0.2077855627
140	0.2062869777
141	0.2057138316
142	0.2056334292
143	0.2045006016
144	0.2039038722
145	0.2029227264
146	0.2022989744
147	0.2017812868
148	0.2014476633
149	0.2010947947
150	0.2003251809
151	0.1993272915
152	0.1977994857
153	0.1976645906
154	0.1969242072
155	0.1956565385
156	0.1949018552
157	0.1945714446
158	0.1939385534
159	0.1933764194
160	0.1923210487
161	0.1920061427
162	0.1907597225
163	0.1907187364
164	0.190058488
165	0.1893182486
166	0.1885125218
167	0.1883861732
168	0.1875694531
169	0.1866665219
170	0.1862392647
171	0.1848222436
172	0.1842820254
173	0.1831911096
174	0.1826664887
175	0.1822840708
176	0.1814227474
177	0.1806265232
178	0.1802021153
179	0.1792109441
180	0.1781384172
181	0.1770162023
182	0.1760589239
183	0.1753641565
184	0.1747312963
185	0.1743414301
186	0.1733555294
187	0.1729449022
188	0.1720705905
189	0.1716647688
190	0.1709512315
191	0.1698434849
192	0.16948848
193	0.1685818148
194	0.1676277877
195	0.1669337822
196	0.1665219738
197	0.1662202581
