iter	Passed	Remaining
0	14	7204
1	52	12965
2	91	15194
3	117	14538
4	135	13390
5	169	13989
6	190	13434
7	213	13148
8	231	12608
9	255	12497
10	293	13038
11	332	13509
12	372	13941
13	384	13358
14	410	13273
15	448	13559
16	487	13848
17	519	13914
18	557	14114
19	596	14317
20	633	14460
21	672	14605
22	698	14476
23	737	14618
24	774	14718
25	786	14345
26	821	14398
27	861	14521
28	901	14636
29	940	14733
30	976	14768
31	1014	14833
32	1049	14846
33	1086	14890
34	1124	14937
35	1159	14948
36	1196	14977
37	1233	14997
38	1256	14852
39	1269	14596
40	1305	14620
41	1313	14319
42	1325	14092
43	1362	14117
44	1398	14138
45	1435	14166
46	1472	14195
47	1510	14221
48	1546	14236
49	1560	14048
50	1595	14050
51	1633	14073
52	1645	13878
53	1658	13694
54	1693	13705
55	1730	13717
56	1741	13538
57	1780	13572
58	1832	13693
59	1869	13708
60	1905	13712
61	1935	13673
62	1973	13686
63	1986	13529
64	2021	13530
65	2059	13545
66	2099	13568
67	2136	13573
68	2175	13589
69	2213	13598
70	2252	13611
71	2291	13624
72	2332	13646
73	2373	13660
74	2411	13664
75	2449	13668
76	2488	13670
77	2525	13666
78	2563	13658
79	2603	13668
80	2640	13657
81	2680	13662
82	2717	13651
83	2755	13645
84	2791	13629
85	2829	13619
86	2865	13603
87	2904	13597
88	2943	13591
89	2980	13578
90	3018	13568
91	3057	13557
92	3095	13545
93	3132	13528
94	3170	13518
95	3209	13504
96	3246	13489
97	3286	13480
98	3324	13466
99	3363	13455
100	3401	13437
101	3438	13415
102	3476	13401
103	3512	13375
104	3549	13352
105	3590	13346
106	3626	13321
107	3662	13293
108	3698	13267
109	3736	13246
110	3775	13231
111	3813	13211
112	3851	13189
113	3887	13162
114	3925	13140
115	3971	13145
116	4007	13118
117	4044	13091
118	4080	13065
119	4116	13037
120	4154	13012
121	4191	12987
122	4227	12956
123	4263	12927
124	4300	12902
125	4338	12877
126	4376	12852
127	4414	12829
